referrerId,rewardAmount,rewardAmountDecimal
0x99342d3ce2d10c34b7d20d960ea75bd742aec468,203654033615599328755,203.654033615599328755
0x181313c4aab54fd818c727665c090dd4021d6429,293027386497265221,0.293027386497265221
0x3e6e1f37249bb22d8543fdb0728716632eac24ac,9083848981415221858,9.083848981415221858
0xc5337cee97ff5b190f26c4a12341dd210f26e17c,293613441270259751672,293.613441270259751672
0x4ea48e01f1314db0925653e30617b254d1cf5366,8204766821923426194,8.204766821923426194
0xb82896c4f251ed65186b416dbdb6f6192dfaf926,17874670576333178495,17.874670576333178495
0x2c2bc76b97bce84a5a9c6e2835ab13306b964cf1,3609511346873312995116,3609.511346873312995116
0x80dadebda19e5c010c4417985a4c05d0a8008a81,38972642404136274423,38.972642404136274423
0x4821ced48fb4456055c86e42587f61c1f39c6315,41023834109617130972,41.023834109617130972
0x5e23d5be257d9140d4c5b12654111a4d4e18d9b2,4395410797458978318,4.395410797458978318
0xe38a456433fff7814e40998cf0cbbbd2c885b513,2637246478475386991,2.637246478475386991
0xd59b83de618561c8ff4e98fc29a1b96abcbfb18a,185486335652768885038,185.486335652768885038
0x6b3bc1b55b28380193733a2fd27f2639d92f14be,2637246478475386991,2.637246478475386991
0x809c9f8dd8ca93a41c3adca4972fa234c28f7714,1758164318983591327,1.758164318983591327
0x124d8fad33e0b9fe9f3e1e90d0fc0055abe8ca8d,6739629889437100088,6.739629889437100088
0x20f50b8832f87104853df3fdda47dd464f885a49,12893205005879669734,12.893205005879669734
0x22886c71a4c1fa2824bd86210ead1c310b3d7cf5,7032657275934365309,7.032657275934365309
