referrerId,kpi,referralCount,rewardAmount,baseKpi,celoKpi,polygonKpi
0x3e6e1f37249bb22d8543fdb0728716632eac24ac,49,14,7013818363399405262,0,49,0
0x6b3bc1b55b28380193733a2fd27f2639d92f14be,1,1,1001974051914200689,0,1,0
0x5e23d5be257d9140d4c5b12654111a4d4e18d9b2,20,4,4480964183542112193,4,16,0
0x124d8fad33e0b9fe9f3e1e90d0fc0055abe8ca8d,15,5,3880628816395665165,1,14,0
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,21981604,6698,4697709581764383990206,12604876,9339739,36989
0x60b979de2c961ac884e6a5d921cdbfa0f454eaa4,473,6,21791495963690239282,0,473,0
0x53eaf4cd171842d8144e45211308e5d90b4b0088,47,5,6869188018488065151,1,46,0
0xc5337cee97ff5b190f26c4a12341dd210f26e17c,2481455,997,1578373121894898664179,2347640,133677,138
0xd59b83de618561c8ff4e98fc29a1b96abcbfb18a,251140672,21,15878702091603504965772,25,251140647,0
0xa353557ddfc96325a8ab18e6f6d9c1fc0d7c1ea6,0,1,0,0,0,0
0xe6d39bb0a25ff3a1918adc57796656173918afe5,4241,26,65251516725731380655,32,4208,1
0xc49b8e093600f684b69ed6ba1e36b7dfad42f982,256,1,16031584830627212337,0,256,0
0x3207d4728c32391405c7122e59ccb115a4af31ea,93703645,21,9699173257113709174737,0,93703645,0
0x000cbf0bec88214aab15bc1fa40d3c30b3ca97a9,52176,56,228871578814433937248,52171,5,0
0xaf108dd1ac530f1c4bded13f43e336a9cec92b44,12366,16,111422037500540997082,12336,29,1
0x2c2bc76b97bce84a5a9c6e2835ab13306b964cf1,21061790,4413,4598372125983327038441,71125,20986490,4175
0x99342d3ce2d10c34b7d20d960ea75bd742aec468,21384,38,146521362207594105682,4154,17230,0
0x55a5705453ee82c742274154136fce8149597058,8111,4,90238875645442475482,8083,27,1
0x4ea48e01f1314db0925653e30617b254d1cf5366,4225,1,65128313374423050041,0,4225,0
0x22886c71a4c1fa2824bd86210ead1c310b3d7cf5,28,3,5301948323009393565,0,27,1
0xe86e5053ab3d18f533d4bfbee79409c218e70b2e,398,4,19989319555260651351,4,394,0
0xb82896c4f251ed65186b416dbdb6f6192dfaf926,17186,68,131354174216851923786,14660,2526,0
0x49e59f6267401e05b482b0020a1a65d63e782ea4,147736,104,385123165723380278793,54179,92420,1137
0xa9fd03e154e1b3cbe88f1b515e7ebdab2d640b60,22637,16,150752981529579760075,22637,0,0
0xc863dfee737c803c93af4b6b27029294f6a56eb5,1454,12,38206625198143470889,1409,36,9
0x174e017bcf9265a3a6f89f3f9c7554f1812bff6c,3630196,2,1909068499862464671620,0,3630196,0
0xc00da57cde8dcb4ed4a8141784b5b4a5cbf62551,2526,6,50358542014159297510,49,2477,0
0x309bf15d1849d573f4ee9491ae740da94ffec3bb,4076361,1,2022985610814771353172,0,4076361,0
0x159eda19ce75221e7da70edc865e9b487eeb6822,2259778,2,1506223304911658677593,0,2259778,0
0xa1f70ffa4322e3609dd905b41f17bf3913366bc1,65,2,8078173063639358400,0,65,0
