referrerId,userAddress,kpi,metadata
0x3e6e1f37249bb22d8543fdb0728716632eac24ac,0xccc9576f841de93cd32bee7b98fe8b9bd3070e3d,2,"{""baseKpi"":1,""celoKpi"":1,""polygonKpi"":0}"
0x6b3bc1b55b28380193733a2fd27f2639d92f14be,0x6b3bc1b55b28380193733a2fd27f2639d92f14be,12,"{""baseKpi"":2,""celoKpi"":10,""polygonKpi"":0}"
0x5e23d5be257d9140d4c5b12654111a4d4e18d9b2,0x9e7ff3830d8966050e76a08af2dad8846752686d,0,"{""baseKpi"":0,""celoKpi"":0,""polygonKpi"":0}"
0x124d8fad33e0b9fe9f3e1e90d0fc0055abe8ca8d,0x124d8fad33e0b9fe9f3e1e90d0fc0055abe8ca8d,3,"{""baseKpi"":1,""celoKpi"":2,""polygonKpi"":0}"
0x3e6e1f37249bb22d8543fdb0728716632eac24ac,0xebcd6334a5fb8697b039c8912eaa7cffe445f3f6,0,"{""baseKpi"":0,""celoKpi"":0,""polygonKpi"":0}"
0x3e6e1f37249bb22d8543fdb0728716632eac24ac,0x00218c6d58bf5bf420b33a26f927fb5df0f8202f,0,"{""baseKpi"":0,""celoKpi"":0,""polygonKpi"":0}"
0x3e6e1f37249bb22d8543fdb0728716632eac24ac,0xff0522103b232278a62e8bf533812f65722bd1e5,11,"{""baseKpi"":0,""celoKpi"":11,""polygonKpi"":0}"
0x124d8fad33e0b9fe9f3e1e90d0fc0055abe8ca8d,0x94210738360485a47305408066f9866c03e615df,0,"{""baseKpi"":0,""celoKpi"":0,""polygonKpi"":0}"
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,247,"{""baseKpi"":246,""celoKpi"":1,""polygonKpi"":0}"
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x5e4aadfdb8e274e959946c43f974d9d3e06d19a9,107,"{""baseKpi"":107,""celoKpi"":0,""polygonKpi"":0}"
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0xd72029dd66179ce316dabd42e9dfca63725dce92,29,"{""baseKpi"":29,""celoKpi"":0,""polygonKpi"":0}"
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x397a321f6e12d9ce36999f1396aa4b1266dc76e6,0,"{""baseKpi"":0,""celoKpi"":0,""polygonKpi"":0}"
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0xee2a4d4d33cc2304a34324e817db6d8ef45b6261,0,"{""baseKpi"":0,""celoKpi"":0,""polygonKpi"":0}"
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x32dfdf63965cd0bb81767e70cf550401ef71860f,0,"{""baseKpi"":0,""celoKpi"":0,""polygonKpi"":0}"
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x06731da8933b8017189e85f414738a1c6c15a679,95,"{""baseKpi"":95,""celoKpi"":0,""polygonKpi"":0}"
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x45eccfdb0320990a1d01498e69b08ab1fa96b041,1,"{""baseKpi"":1,""celoKpi"":0,""polygonKpi"":0}"
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x33fc01ad4cd3f2481b3777e5fa111dfd42f755cd,22,"{""baseKpi"":22,""celoKpi"":0,""polygonKpi"":0}"
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0xddc2bcc2e921a3efe65419615d3b52d27b199c99,7,"{""baseKpi"":7,""celoKpi"":0,""polygonKpi"":0}"
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0xc4a3d353b10c25ca0747f9a6d1c60e52a6293dc4,6,"{""baseKpi"":6,""celoKpi"":0,""polygonKpi"":0}"
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0xf2182729f83c60b6ba7a60abff8dc2c034a72469,4,"{""baseKpi"":4,""celoKpi"":0,""polygonKpi"":0}"
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x993c48157d5af72ce4fff4bb070c44ca06084713,4,"{""baseKpi"":4,""celoKpi"":0,""polygonKpi"":0}"
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x15b0051beddc34a7a9a0a6cd0ae960f641083c5c,0,"{""baseKpi"":0,""celoKpi"":0,""polygonKpi"":0}"
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x2b65c8923b96020583f540c7c2a1330d4b781962,15,"{""baseKpi"":15,""celoKpi"":0,""polygonKpi"":0}"
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x51aaff0cf3b804932c350d9bfbc8a7b4592b1a9a,3,"{""baseKpi"":3,""celoKpi"":0,""polygonKpi"":0}"
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0xc7b03ed17b33be83b4f5b2776946dc91af07aa36,19,"{""baseKpi"":19,""celoKpi"":0,""polygonKpi"":0}"
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x38da904863cea04fad8c7809864bb904920267cf,14,"{""baseKpi"":14,""celoKpi"":0,""polygonKpi"":0}"
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x63d4b3917e73e6b069b12545a4e2b9443e306358,49,"{""baseKpi"":49,""celoKpi"":0,""polygonKpi"":0}"
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x7e0544a54f218c65d4ef3687ec63f3e42b6b8eb6,24,"{""baseKpi"":24,""celoKpi"":0,""polygonKpi"":0}"
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x6aab4e886bd0195cadd32ff175e630d3cfd17192,2,"{""baseKpi"":2,""celoKpi"":0,""polygonKpi"":0}"
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0xa428ff3852c84ed525c937c1947095d99b8a5645,0,"{""baseKpi"":0,""celoKpi"":0,""polygonKpi"":0}"
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x60c1d95a7cb7d45adfbf8d80be9557bbd560af78,1,"{""baseKpi"":1,""celoKpi"":0,""polygonKpi"":0}"
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x058ca218d60f7cbd55dc34d8c47fdfcd069ca8d9,1,"{""baseKpi"":1,""celoKpi"":0,""polygonKpi"":0}"
