referrerId,kpi,referralCount,rewardAmount,baseKpi,celoKpi,polygonKpi
0x3e6e1f37249bb22d8543fdb0728716632eac24ac,50,15,175386219691340748227,0,48,2
0x6b3bc1b55b28380193733a2fd27f2639d92f14be,22,1,116338056823003822075,1,21,0
0x5e23d5be257d9140d4c5b12654111a4d4e18d9b2,77,4,217648574837359391358,5,72,0
0x124d8fad33e0b9fe9f3e1e90d0fc0055abe8ca8d,32,5,140308975753072598668,0,32,0
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,96224,7178,7693999758991878042972,89887,3610,2727
0x60b979de2c961ac884e6a5d921cdbfa0f454eaa4,19,8,108115326859309414448,1,18,0
0x53eaf4cd171842d8144e45211308e5d90b4b0088,42,5,160744125517544692055,7,35,0
0xc5337cee97ff5b190f26c4a12341dd210f26e17c,23758,1077,3823097766149638851579,15443,8309,6
0xd59b83de618561c8ff4e98fc29a1b96abcbfb18a,57562,33,5950841769915712966800,12,57549,1
0xa353557ddfc96325a8ab18e6f6d9c1fc0d7c1ea6,0,1,0,0,0,0
0xe6d39bb0a25ff3a1918adc57796656173918afe5,153,26,306800583011693245613,15,138,0
0xc49b8e093600f684b69ed6ba1e36b7dfad42f982,80,1,221847969772524143420,0,80,0
0x3207d4728c32391405c7122e59ccb115a4af31ea,24504,21,3882656383755590308096,0,24504,0
0x000cbf0bec88214aab15bc1fa40d3c30b3ca97a9,1095,65,820762536097902913634,1093,2,0
0xaf108dd1ac530f1c4bded13f43e336a9cec92b44,256,20,396853712865346032558,254,2,0
0x2c2bc76b97bce84a5a9c6e2835ab13306b964cf1,44566,9097,5236152578150982616365,1609,42584,373
0x99342d3ce2d10c34b7d20d960ea75bd742aec468,695,47,653887247314785497131,336,359,0
0x55a5705453ee82c742274154136fce8149597058,111,4,261319581830207886082,101,8,2
0x4ea48e01f1314db0925653e30617b254d1cf5366,112,17,262494057778584961965,0,112,0
0x22886c71a4c1fa2824bd86210ead1c310b3d7cf5,20,6,110923984886262071710,0,20,0
0xe86e5053ab3d18f533d4bfbee79409c218e70b2e,27,4,128882023847836864572,0,27,0
0xb82896c4f251ed65186b416dbdb6f6192dfaf926,818,125,709393356539692149910,673,145,0
0x49e59f6267401e05b482b0020a1a65d63e782ea4,5660,209,1866030254235578601124,3555,1633,472
0xa9fd03e154e1b3cbe88f1b515e7ebdab2d640b60,870,16,731593926575784797772,867,3,0
0xc863dfee737c803c93af4b6b27029294f6a56eb5,358,23,469301539069023049055,344,8,6
0x174e017bcf9265a3a6f89f3f9c7554f1812bff6c,3700,2,1508729309141909608551,0,3700,0
0xc00da57cde8dcb4ed4a8141784b5b4a5cbf62551,90,9,235305305727930058406,12,78,0
0x309bf15d1849d573f4ee9491ae740da94ffec3bb,1788,1,1048803727977958737351,0,1788,0
0x159eda19ce75221e7da70edc865e9b487eeb6822,2206,2,1164965916094613011737,0,2206,0
0xa1f70ffa4322e3609dd905b41f17bf3913366bc1,14,2,92805664138205419800,0,14,0
0xbdeb0877ea15abd145e12d7c74c04a5a5f924879,9,5,74410071162252381186,1,8,0
0x9b5f6df2c7a331697cf2616ca884594f6afdc07d,1,1,24803357054084127062,0,1,0
0xda404bfda2a5dcda88fd2aa9b9e0c32a677bc8eb,1843,2,1064812480432045477324,0,1843,0
0x0e9b25255462c0912b2a268b078045002f980ccd,1932,1,1090219702108894875868,0,1932,0
0x4575605d7af6b4b4df7a6a53ce8a97c309fa2ea5,1309,1,897388063319582904227,0,1309,0
0x2802fc092c3510c8d5e14d3770e055c011827d41,989,1,780025159478659759820,0,989,0
0x9c11931e683045b120777a1ac7f4ead9aeed978f,1237,1,872359138580837031744,0,1237,0
0xd7c271d20c9e323336bfc843aeb8dec23b346352,14,2,92805664138205419800,0,14,0
0x131ec028bb8bd936a3416635777d905497f3d21f,5,2,55461992443131035855,0,5,0
