referrerId,userAddress,kpi
0x4ea48e01f1314db0925653e30617b254d1cf5366,0x4ea48e01f1314db0925653e30617b254d1cf5366,7257871
0xdd304336cf878df7d2647435d5f57c2345b140c1,0x14140b0dbc4736124ea9f5230d851f62f99b0ac5,442986
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,15629022
0x99342d3ce2d10c34b7d20d960ea75bd742aec468,0x24cd0ac5114efea4bd3a7a51c52c170b39a97416,9529978
0x99342d3ce2d10c34b7d20d960ea75bd742aec468,0x99342d3ce2d10c34b7d20d960ea75bd742aec468,11888355
0x99342d3ce2d10c34b7d20d960ea75bd742aec468,0x92d921fbe99167788d2abee6be78d2aaba7911fb,240313
0x99342d3ce2d10c34b7d20d960ea75bd742aec468,0xc15caab109e781f54ac76afb830880edf7ba2e88,628246
0x4ea48e01f1314db0925653e30617b254d1cf5366,0x29dc0494716b02de4a4b82650b786329c2ae4cde,7166824
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x5e4aadfdb8e274e959946c43f974d9d3e06d19a9,10114856
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0xb8f71c567758780bceb8501915e59734b8984435,359276
0x99342d3ce2d10c34b7d20d960ea75bd742aec468,0x19001ba47fafb4a64d6f3c29c0f5a31e55b81362,582791
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x3593a1ae169d34fda5cd93d37edf6cdbc5f436ee,2345699
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x59ce4e774d7fd49b965041a9b3bea7e2e107a027,145416
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x8945a764dae5cb19c69c44d3d45726d1f75f33fe,1525214
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x1f51a4d6cdcf9c132bdd5c96e8d1fc21cbcd9cf5,59872
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0xfd9136fcaddc3b397913b154ec7d753463594576,1711745
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x2b66653351bfe5090a47cf2c2f1340d58e09baa3,515205
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x7898a24962078105f14f45f61de71edcbc3892ff,133462
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0xe97c29b17ed7d742e3843affa357449fa10a1855,630783
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x7dcff286f8e45b9a5c31bb990c0007d4ee5f7ec0,1441053
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x88ad99bd5b1c9af5e4bed35ed41aa8a84c00b1dd,494261
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x75c0f868ef0812d85ccd370f254ad820b24277c3,2975397
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x7974dd20eac051449255e6db6189d3133b1ea98e,344178
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0xaf7b9939872b9a15948a052a3c9891324b81c203,3975407
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x0a187b1bbefefe0f7102f2180e7850f62064ccb7,1144819
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0xc8e4882c6a6acab54da6db69e59fcfaf01a6d3ab,215801
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x01c72a48c34939b0a2036fdf56d66ad22939cedc,935377
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x6e7f46a718e22b9acba3ab749621987e4c5b9fc4,765491
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x36d723261fbc0fa3d4a07e061f18ce022afec81d,1089284
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x7861d277ffee99daf8446377a0ff13068ad422f7,1152665
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x47ba70d576485a4eb1020925b72e8536466462fc,490222
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x97e302e2638eb8ac6572598c559e56c7a9b39cdf,926915
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x5b32c7635afe825703dbd446e0b402b8a67a7051,215789
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x5829f33bed3b1e1a14c883fd73679fe9cdea63a6,2025727
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x6d728e89d2fd1dedf35069a44273dbd4d76eed9d,2259970
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x93145e9964738cff778ad06ab20839070a7af539,1563169
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x669e76b0beca9ccad9572a22d93d625eaffa22c4,767202
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0xd3bc4b6fbc79200a5096aaa67fa11d35056aebaa,1699837
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x5008d4a94180ae4f8883d3570225077f8614a676,928291
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x489ff630c10666b8a2882be01c254882cca6901c,380340
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0xf241bd5812c15d948915b4ce4f8f3dbb5fcae11f,374935
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x92aedf2faa17ad5cd4ce6732ced993e19d1bb89d,1894470
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x3e13cf7e3dc8cbcc051129f642139f362cb7dd06,708765
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0xdaed05f61c0b9a702842d139e4cb5f8653bbc994,310455
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0xb3a393f131f81064c81d17d187ad8ebe352f0174,1031412
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0xf8e32b4860bf0a77d71852587868b6efb753be31,133462
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x669cc4b742ced19d2fd89575d38626a07026c57a,2013117
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x6ac61aa7bd2700dba9aeaa13ad21734958619ef8,381423
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0xd865cd7ccc91f83692ab330981c3e3e9d7a0526a,847381
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x6e9cbbc2de389e41db1fa7fed477bc1842fcf766,1047745
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x5f57904e95d17dfb405160adbac3fda5e2cbb8b2,1842886
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x3f36096e48b26822c32a67ee94a6dc85fec0ddfb,839017
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x7fa5ef24e790193f06a524278cff80a5b3b89e94,102644
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x10bf54fddb83f1e8bf200e2ed621c42c63a2a5bb,915312
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x6e5ec6da943c26fe82ee067f128f4454f6ee3d57,267367
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0xd9911a69519eb02fee252f3f90572384f8973404,1147342
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x7010cbe27757eef358429ef6e17dca2dd31ed52c,831422
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0xb4ebf6c5c21a90941dcb1a323153bf9fd9988569,958508
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0xee5c737066269fa6ee57cfd60902d066ebafb705,903084
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0xeb04b07a605215d68ca54c4cb1046da734ed05ae,3180388
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x85cbb68118cf66d94853a0eb60fbbf32a2ce623a,1163894
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0xffce33192a5eda04c0dd7ee0d0c3d0a8b417aad7,408959
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0xe848317d05abdffb0d814887775bc9b39c5efe38,875166
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x0cda38f039add2feb6c0dd443db972bc43d41163,695339
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0x192d6cd75597fb3bd2fee062405403fe6cf93a75,814597
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,0xb26e0d754a8c590afe38248c9f13b820d1243d26,1157782
