referrerId,kpi,referralCount,rewardAmount
0xe70ffe8d559207261a17834c58786bfd53cd8642,11322210630,3482,8560000000000000000000
0xba7a463cf9f68046311616bb4c787923828f0644,2864002114,4195,4305000000000000000000
0x366a6bbdc02014dccd16426bfe43388825736cb4,4439002029,1,5359000000000000000000
0xf254371b6d40d9b583fd4f3a6732cf07cfa40843,2476980008,5120,4003000000000000000000
0x4039bf13eb7e24298d452161d12eca3059fb804a,2479013046,3708,4005000000000000000000
0x21dfd1cfd1d45801f46b0f40aed056b064045aa2,6176670,1,199000000000000000000
0x93f40b8720943b941e1663331d8752d49c0d0544,812584,1,72000000000000000000
0x232a62e6f8a3881e813d5ca538a8725bae816afe,740187754,1,2188000000000000000000
0xbd928a86bb0a0b185ccdc0ddfc78f41b129a7f74,739762024,1,2188000000000000000000
0x2298947e6c1d6c282c258b3e5f8989670a8e346f,68227323,5,664000000000000000000
0x0536757f82fb7bc487548acfe354df3c437d8aaf,0,94,0
0x91bee2055320b9865f7f94b89be19418bcb4007d,4140933306,1,5176000000000000000000
0x10265305e8b7ce057d70875f0fd44f2ee48456cb,4302034670,2,5276000000000000000000
0x724aec1d1294cb3f1281dd4e9452490785a70e0b,548356120,6285,1883000000000000000000
0xf64fda4524bd7554abbf96095a0fb75e6e8dc377,597461560,5286,1966000000000000000000
0x19b324e287e9abc4706a4cd09d08d5281d481c42,2704632969,20,4183000000000000000000
0x45cb8fbaf94cf87236c39c791a210c9605e18f06,1194425488,10,2780000000000000000000
0xd7dda410e62a0f5c83e5d4a92b136ed63a6f8382,3885118744,1,5014000000000000000000
0x7d65537a57c620ae8a5ba9507aae7a14077fad29,4138579233,2,5175000000000000000000
0xe9dcb14cbe15dccfa00146ab17b81361996a7d05,3633697457,1,4849000000000000000000
0xb88e524db2e1117c51f4772a3809e9a7f8b1d21d,4145289306,1,5179000000000000000000
0x3b15f2711196569c323e1d04ca87125ff235e7b7,3781882990,1,4947000000000000000000
0x6f4d5054280169bdc41e8c84ef6455d1ba83984c,3331996250,1,4643000000000000000000
0x1d2ab252f56b3b64e16f621438c61f54ae20f7c3,3697377417,1,4891000000000000000000
