referrerId,kpi,referralCount,rewardAmount
0x4ea48e01f1314db0925653e30617b254d1cf5366,74675468683,313,21984000000000000000000
0xdd304336cf878df7d2647435d5f57c2345b140c1,0,1,0
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,768483864,16263,2230000000000000000000
0x99342d3ce2d10c34b7d20d960ea75bd742aec468,36349560933,168,15338000000000000000000
0xe38a456433fff7814e40998cf0cbbbd2c885b513,689047,3,66000000000000000000
0x2c2bc76b97bce84a5a9c6e2835ab13306b964cf1,187306624654,93055,34817000000000000000000
0x181313c4aab54fd818c727665c090dd4021d6429,0,1,0
0x80dadebda19e5c010c4417985a4c05d0a8008a81,1875840,65,110000000000000000000
0x66582d24fead72555adac681cc621cacbb208324,209655801110,52065,36836000000000000000000
0x4821ced48fb4456055c86e42587f61c1f39c6315,132267191,10,925000000000000000000
0xd59b83de618561c8ff4e98fc29a1b96abcbfb18a,8340607079,259,7347000000000000000000
0x3e6e1f37249bb22d8543fdb0728716632eac24ac,52780418,23,584000000000000000000
0x60b979de2c961ac884e6a5d921cdbfa0f454eaa4,75634439,27,699000000000000000000
0x6b3bc1b55b28380193733a2fd27f2639d92f14be,2953026,1,138000000000000000000
0x7320f31d71a5294f04f7eeeb101418feed3d3119,7254967,4,216000000000000000000
0x5e23d5be257d9140d4c5b12654111a4d4e18d9b2,100136075,12,805000000000000000000
0x809c9f8dd8ca93a41c3adca4972fa234c28f7714,100004384,30,804000000000000000000
0x124d8fad33e0b9fe9f3e1e90d0fc0055abe8ca8d,44727754,5,538000000000000000000
0x62bb362d63f14449398b79ebc46574f859a6045d,139497679,1256,950000000000000000000
0x20f50b8832f87104853df3fdda47dd464f885a49,0,2,0
0x53eaf4cd171842d8144e45211308e5d90b4b0088,1750817149,62,3366000000000000000000
0xc5337cee97ff5b190f26c4a12341dd210f26e17c,4142691955,1741,5178000000000000000000
0xa353557ddfc96325a8ab18e6f6d9c1fc0d7c1ea6,0,1,0
0xe6d39bb0a25ff3a1918adc57796656173918afe5,69619700,25,671000000000000000000
0xc49b8e093600f684b69ed6ba1e36b7dfad42f982,1060774,1,82000000000000000000
0x3207d4728c32391405c7122e59ccb115a4af31ea,15390132712,27,9980000000000000000000
0xaf108dd1ac530f1c4bded13f43e336a9cec92b44,3053143,28,140000000000000000000
0xb82896c4f251ed65186b416dbdb6f6192dfaf926,253642053,329,1281000000000000000000
0x55a5705453ee82c742274154136fce8149597058,6144361,4,199000000000000000000
0x22886c71a4c1fa2824bd86210ead1c310b3d7cf5,63414858,85,640000000000000000000
0xe86e5053ab3d18f533d4bfbee79409c218e70b2e,55420816,16,598000000000000000000
0x49e59f6267401e05b482b0020a1a65d63e782ea4,584628676,390,1945000000000000000000
0x174e017bcf9265a3a6f89f3f9c7554f1812bff6c,1116289471,2,2687000000000000000000
0xc00da57cde8dcb4ed4a8141784b5b4a5cbf62551,1486616570,15,3101000000000000000000
0xa1599790b763e537bd15b5b912012e5fb65491a3,21792932,16,375000000000000000000
0x309bf15d1849d573f4ee9491ae740da94ffec3bb,921372516,1,2441000000000000000000
0x159eda19ce75221e7da70edc865e9b487eeb6822,2029369190,2,3624000000000000000000
0xa1f70ffa4322e3609dd905b41f17bf3913366bc1,27471657,3,421000000000000000000
0xb522133dbd9c8b424429d89d821aeb2a115db678,18828672,10,349000000000000000000
0xbdeb0877ea15abd145e12d7c74c04a5a5f924879,416707,7,51000000000000000000
0x9b5f6df2c7a331697cf2616ca884594f6afdc07d,22223795,13,379000000000000000000
0xda404bfda2a5dcda88fd2aa9b9e0c32a677bc8eb,7665352557,4,7043000000000000000000
0x0e9b25255462c0912b2a268b078045002f980ccd,920334671,1,2440000000000000000000
0x4575605d7af6b4b4df7a6a53ce8a97c309fa2ea5,924533819,1,2446000000000000000000
0x2802fc092c3510c8d5e14d3770e055c011827d41,929904528,1,2453000000000000000000
0x9c11931e683045b120777a1ac7f4ead9aeed978f,1659788257,2,3277000000000000000000
0xd7c271d20c9e323336bfc843aeb8dec23b346352,44264955,4,535000000000000000000
0x131ec028bb8bd936a3416635777d905497f3d21f,4605427420,25,5459000000000000000000
0x22db5ade0850a5342729d519f4a4b556bcbbc572,3697459412,8,4891000000000000000000
0xfb7e31f9a59fa2722e1bc0d2d83449b113ee7a24,3703697951,8,4895000000000000000000
0x16f8723936949a7a8c90c63d6faac5e192c1edcf,1111065398,1,2681000000000000000000
0x358643badcc77cccb28a319abd439438a57339a7,2007570,7,113000000000000000000
0x37b5a29b9532940414bbc59c616696daba16169c,13207528077,8367,9245000000000000000000
0xf0be2e87e6fdb2cd1c587a585c301679e3a35d1a,21877136,40,376000000000000000000
0x9ecfe3ddfaf1bb9b55f56b84471406893c5e29ad,3427473313,620,4709000000000000000000
