referrerId,kpi,referralCount,rewardAmount,rewardAmountDecimal
0x99342d3ce2d10c34b7d20d960ea75bd742aec468,35,5,2174212454212454212454,2174.212454212454212454
0xb82896c4f251ed65186b416dbdb6f6192dfaf926,20,3,1242407116692830978545,1242.407116692830978545
0x181313c4aab54fd818c727665c090dd4021d6429,8,1,496962846677132391418,496.962846677132391418
0x22886c71a4c1fa2824bd86210ead1c310b3d7cf5,7,1,434842490842490842490,434.84249084249084249
0x3e6e1f37249bb22d8543fdb0728716632eac24ac,1,1,62120355834641548927,62.120355834641548927
0xc5337cee97ff5b190f26c4a12341dd210f26e17c,15,3,931805337519623233908,931.805337519623233908
0x4ea48e01f1314db0925653e30617b254d1cf5366,3,1,186361067503924646781,186.361067503924646781
0xdd304336cf878df7d2647435d5f57c2345b140c1,2,1,124240711669283097854,124.240711669283097854
