referrerId,userAddress,revenue
0x99342d3ce2d10c34b7d20d960ea75bd742aec468,0x99342d3ce2d10c34b7d20d960ea75bd742aec468,46
0xb82896c4f251ed65186b416dbdb6f6192dfaf926,0x89563f2535ad834833c0d84cf81ee335867b8e34,62
0x99342d3ce2d10c34b7d20d960ea75bd742aec468,0x19001ba47fafb4a64d6f3c29c0f5a31e55b81362,8
0xb82896c4f251ed65186b416dbdb6f6192dfaf926,0x28ef6b53e57deae4dba3ac310b08cca6c261b4d2,7
0xb82896c4f251ed65186b416dbdb6f6192dfaf926,0x146d32c207949f98e5dcd3162023fc1fe10d4378,5
0x181313c4aab54fd818c727665c090dd4021d6429,0x6ee33e8a0487e799bdc8c9c91d851fd383104455,8
0x99342d3ce2d10c34b7d20d960ea75bd742aec468,0x48b182ea69d41b1d50e3aa1f4efa612584500d1f,3
0x99342d3ce2d10c34b7d20d960ea75bd742aec468,0x17d830c1d6246982710ae3cf3b948d55f33f914b,12
0x22886c71a4c1fa2824bd86210ead1c310b3d7cf5,0x62667f639368a4fb90374e69cf5951d5fb9d693e,14
0x3e6e1f37249bb22d8543fdb0728716632eac24ac,0xccc9576f841de93cd32bee7b98fe8b9bd3070e3d,1
0x99342d3ce2d10c34b7d20d960ea75bd742aec468,0x82b852a42db3e9ca237581a675f319a33c1cafd4,11
0xc5337cee97ff5b190f26c4a12341dd210f26e17c,0xc32eced3420f59e38b0f719aac67b3c36c6a5d97,23
0xc5337cee97ff5b190f26c4a12341dd210f26e17c,0xc5337cee97ff5b190f26c4a12341dd210f26e17c,9
0xc5337cee97ff5b190f26c4a12341dd210f26e17c,0xbdeb0877ea15abd145e12d7c74c04a5a5f924879,2
0x4ea48e01f1314db0925653e30617b254d1cf5366,0x4ea48e01f1314db0925653e30617b254d1cf5366,6
0xdd304336cf878df7d2647435d5f57c2345b140c1,0x14140b0dbc4736124ea9f5230d851f62f99b0ac5,2
0x99342d3ce2d10c34b7d20d960ea75bd742aec468,0x24cd0ac5114efea4bd3a7a51c52c170b39a97416,0
0xc5337cee97ff5b190f26c4a12341dd210f26e17c,0x1ff127f31982e0ef82f5ec2064b6185d57417a1a,2
0x99342d3ce2d10c34b7d20d960ea75bd742aec468,0x92d921fbe99167788d2abee6be78d2aaba7911fb,0
0x99342d3ce2d10c34b7d20d960ea75bd742aec468,0xc15caab109e781f54ac76afb830880edf7ba2e88,0
